"","Player","MVP.Chance"
"88","Kentavious Caldwell-Pope",0.000275975625644392
"536","Garrett Temple",0.00027152383337235
"12","Al-Farouq Aminu",0.000267325576203102
"225","Joe Harris",0.000264636680882862
"351","Shelvin Mack",0.000257752910056148
"11","Tony Allen",0.000252040489650283
"250","Solomon Hill",0.000244381802922953
"391","Marcus Morris",0.00024020573732092
"134","Matthew Dellavedova",0.000237493607299319
"123","Dante Cunningham",0.000230934701655954
"486","Derrick Rose",0.000226805889778936
"466","Alex Poythress",0.000221488399019033
"439","Jabari Parker",0.000211436685892942
"121","Jordan Crawford",0.000210191345993258
"382","Khris Middleton",0.000202064880184096
"220","Maurice Harkless",0.00020166246538819
"135","Luol Deng",0.000192262813141655
"374","Rodney McGruder",0.000190162694919797
"493","Brandon Rush",0.000177276882090028
"520","Nik Stauskas",0.000170697718447457
"408","Jameer Nelson",0.000166440409169799
"583","Isaiah Whitehead",0.000165750082009659
"187","Rudy Gay",0.000150863548010411
"431","Victor Oladipo",0.000146122059968665
"42","Kent Bazemore",0.000144115024265544
"614","Thaddeus Young",0.000137861821562785
"521","Lance Stephenson",0.000136539167466706
"485","Rajon Rondo",0.000133418632894815
"398","Emmanuel Mudiay",0.000132818685056219
"484","Sergio Rodriguez",0.000128325980719349
"67","Avery Bradley",0.000116412669158631
"494","D'Angelo Russell",0.000108035164481953
"476","Josh Richardson",9.58488216674075e-05
"252","Jrue Holiday",9.11882697029279e-05
"478","Austin Rivers",8.76718636888468e-05
"357","Wesley Matthews",8.5567107052372e-05
"106","Jordan Clarkson",8.50879131068043e-05
"175","Evan Fournier",8.11242136128906e-05
"154","Monta Ellis",7.97271882786643e-05
"586","Andrew Wiggins",4.92708233900948e-05
"61","Andrew Bogut",4.30660081897123e-05
"325","Zach LaVine",3.71957250940572e-05
"479","Andre Roberson",3.56552386476005e-05
"65","Devin Booker",3.55472331630201e-05
"571","Dion Waiters",2.64508872489347e-05
"515","J.R. Smith",2.29246139046127e-05
"274","Brandon Ingram",1.30397715690439e-05
"604","Justise Winslow",3.80249939779825e-06
